"","chrom","loc","gc","gcranrange","rate","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16"
"chr2_83050000_83060000","chr2",0.919510289137796,0.362326667639761,0.0394033757451135,-6.16439122343904,0.516124473212767,0.330815606222064,-0.457311701750291,-0.9978719709446,0.379438605439471,-0.565504737156907,-0.0420152646234604,-0.139764962735469,0.585520920173238,-0.109881466978267,0.22189633302958,-0.32590035873081,-0.317872248400817,0.464444330637288,-1.07622340615291,-1.21718287994707
"chr2_35450000_35460000","chr2",0.460536598072415,0.346531110549802,0.0317521280803214,-6.12254598319034,2.35154319310066,0.915666469518587,-2.22387840611185,1.55998618015551,-0.771654051787612,0.326173108376446,-0.359454024871221,0.155744929431118,-0.11914571483706,-0.319880231210441,0.373865212719115,-0.395200821368061,-0.613160959167892,0.0408349203634842,-0.95189378508394,0.803940745863161
"chr8_24860000_24870000","chr8",0.288474810213941,0.402736170912895,0.0435963937701428,-5.66251801562753,-5.74899848715785,-0.886578313966234,0.483874914481371,-0.228085282343631,1.30466449652439,-0.661146401120529,0.55912954243585,-1.43369532884159,-0.586769016430481,-2.91778699371196,1.31140297506645,0.848076698462985,0.646526551862752,-0.663453592358608,-0.671749971670798,0.907965706247194
"chr1_63700000_63710000","chr1",0.643062780948533,0.395047944671515,0.0221793783466109,-6.32166644777216,4.36665032938683,0.651557980991678,1.1277516012409,-0.302025480048741,-0.889837996699193,-0.658018093899101,0.244491211176504,1.13038926154075,-0.0974055761913399,1.28979554870469,0.101374258138892,0.27770958176747,0.174110522701375,0.314006116370612,-0.142861507958037,-0.135845131160516
"chr4_56320000_56330000","chr4",0.766377702183694,0.422177044609665,0.0718010324708123,-6.16190265708787,1.12718180352165,0.77508650523754,-0.512863892960033,-0.241476534039136,-0.6865530963498,0.423243729165718,0.72045674226762,-0.737369398212193,0.0708549443047121,-1.5960805124207,-0.402608513867678,-0.214985127887828,-0.80535790682259,-0.939035617878962,0.256724040252556,0.922518215650517
"chr12_14090000_14100000","chr12",0.734211721944571,0.428750933510355,0.0487664048639609,-6.05566857763537,-1.97734383529005,-0.859477049124575,-0.385609526159618,-0.394219505232282,-0.635416019474167,0.0429639776939219,-1.4570047581913,-0.1482805140132,0.776906959716838,-0.364685154135434,-0.449957126014901,-1.36063805422695,0.10163697108535,-0.228410127242585,-1.12237870037626,-0.0149673909681886
"chr4_87800000_87810000","chr4",0.0754965433995392,0.438640009980301,0.0591385144780087,-6.14780538417451,-2.01015806787781,-0.283921440012339,1.29586672922326,-0.531792360315999,-1.18616016598884,0.306187199244794,-0.0907547114390474,-0.106267504386748,-0.47578131350658,-0.245833796223698,0.072317686216421,-0.284086789623619,0.617222835092035,0.243352587121717,-0.552813915829426,-0.429949147482823
"chr3_97520000_97530000","chr3",0.269080582179624,0.350848844587022,0.0273876888019773,-5.80688021259431,-7.27291879955255,-0.344062957977308,0.527439913982754,0.40159290976812,0.0025347210574216,-1.15021788927843,-0.677812502975143,-0.608860415065275,-0.703991146547843,-1.32118553484182,-0.200804028833102,0.790380910193012,-0.123060936426499,1.21029973084615,-0.0986213130203176,-0.880292011262208
"chrZ_7470000_7480000","chrZ",0.284956160590678,0.409483372223288,0.0865094665578086,-5.92388980083607,-3.27694622011809,-0.264669302134531,-1.58177146030939,-0.833925290279939,-0.0688558684034883,-0.371241605820287,1.04747071668084,0.432118504042238,0.217133997757177,-0.252981382457954,-0.014255248957267,0.0864720294238868,0.0267830470790004,-0.723744562539605,-0.653984831882602,0.0570794431559072
"chr9_10720000_10730000","chr9",0.900465904277848,0.34703312242789,0.0494685542364379,-6.09580617329636,-0.586013105868461,-1.43109844523914,1.14817332236455,-0.844179927863123,0.941260996180062,1.13971742124672,0.873186908898925,0.990822722056953,-0.453361825999975,0.450331191012405,0.939672139313936,0.807482541962356,-2.61987817664981,-1.34533455113585,2.22682391693216,0.545192883005663
"chr2_125270000_125280000","chr2",0.369627507163324,0.426287103274268,0.040188248099121,-6.23181150223793,0.48759139898941,-0.642847142806924,-0.0799844409981355,-0.646420389140524,-2.383685837248,0.178751595862726,0.698498031177791,-0.388020250475306,0.000417401045352928,-0.629068464715666,-0.443521015568709,-0.0847692560493763,-0.293733127091456,-0.987192620665539,-0.229927103926093,0.0844202438249288
"chr1_58740000_58750000","chr1",0.592959240365675,0.361200819052592,0.040813503547697,-5.9118519621796,-3.70939714297787,0.972774885674214,-2.02492359769161,-0.850607492418609,-0.910819009496782,1.06522467308561,-1.00390274914329,-0.435392665777887,0.0554270585953094,-0.477556591816977,0.074918788372643,1.02697511186194,-1.46701263840763,0.698616740307079,1.0101833902232,1.29487853474343
"chr20_14060000_14070000","chr20",0.110586648685098,0.493847420774804,0.0714528352580666,-6.46400065095883,8.71790107680936,1.49751318766499,-3.98130901386954,-0.524365649545496,0.68802698507758,-0.365022306432835,0.683983191548636,0.187173911183223,-0.589271308076634,-0.345923721571259,0.14642635814952,0.0236290716139178,-0.121574266247176,0.727903265573428,0.0131083284688471,0.682496940566658
"chrZ_24310000_24320000","chrZ",0.673511767420397,0.406362424947452,0.0443451295626914,-6.01055489041375,-3.02931501397739,-0.80279825028464,0.160770189417837,-1.03726434657439,-0.798711709176108,0.581453830503514,1.94792300960516,-0.421171893516572,-0.0724087258013999,0.0745513232624699,-0.0586923451960629,-0.483151850665595,0.62443131534976,-1.03785375126482,-0.808538015001494,1.35939512713963
"chr1_27620000_27630000","chr1",0.278599929289358,0.349211523572797,0.0391281925354759,-5.91870014361747,-5.0444968086069,-0.571715401033125,0.402508507749311,-0.718138593707374,0.357705853467972,-0.747911353090165,-0.197347061151799,-0.621200328252086,0.131550314514887,0.695212365689646,-0.334419370842533,0.649233397355313,0.881375184592398,-0.183785601561828,0.730908565348347,-1.56088197605913
"chr18_10450000_10460000","chr18",0.125764192139738,0.418178440777903,0.059435443458301,-5.78279352934631,-5.14004556702402,0.125712211364564,0.178178065100083,2.34631036107063,2.86768170302363,0.938222587230106,0.750728866843625,0.811072151214397,0.805913766223746,-0.836665145061448,0.270121167725457,-0.463241925561012,-0.0892509857506192,1.28426407540491,0.515691240058866,-1.07985204005243
"chr3_27180000_27190000","chr3",0.482428115015974,0.383828012004893,0.0414873930291256,-6.04667082084672,0.8202569227619,0.41124729352148,2.86392482638338,1.60608956150543,-2.0158591388417,0.266691852845479,2.42989397606831,1.05699353913861,0.288709319347365,2.61419970787627,-2.519549652896,-0.448529022251259,-2.26739309775538,2.42356475392167,-0.417355205310143,-1.68444475321776
"chr1_107220000_107230000","chr1",0.917319056518006,0.490209963887285,0.0535753391634106,-6.53679876603374,9.50289513121815,1.77228510964865,-1.4749327092887,0.487473183109988,0.582359743410993,-0.913602103097735,-0.866318511517623,-0.393312639512817,-0.672349795980716,0.268781862865112,-0.138608784351047,-0.527299464460089,0.431115216555613,0.407767699326091,-0.541638818458517,0.249189050985248
"chr13_9850000_9860000","chr13",0.867071152785438,0.492531521449138,0.0649347974925256,-5.91433858451573,-3.7632741783369,0.834189863829026,-1.51965509374865,1.4476294146883,0.384291680888668,0.251563144525085,-1.14751926623624,1.60957384083423,-0.530944887229762,-1.21895671477439,-0.269977561155768,-0.186268133462525,-0.336494961577288,0.641598127299664,-0.622755771203478,0.00801008201856105
"chr1_112980000_112990000","chr1",0.859134299712107,0.325460314821796,0.0324589503672028,-6.13986252582276,-0.584828406963527,-0.711407763319545,-2.27113703331882,-1.16885283599021,0.262719603414401,-0.503160072951348,1.81978650834078,0.515486226592479,-0.220586671171682,-0.0399645938034004,-0.463253159012061,-0.517877890202586,-0.245880991755557,-0.246493544189778,-1.04052001681537,-0.504976094003837
"chr6_23900000_23910000","chr6",0.646659116647792,0.424309166325875,0.0330999212608843,-5.94448046812994,-2.26021270563148,0.210640466482399,1.54862035049622,-0.402900133310513,0.856911789588635,-1.05583279019738,0.900071687314791,-0.988336745897876,-0.764814802503411,-0.51915624163431,1.56539623964986,0.552785285018065,1.072851144699,-1.62454155888311,0.67162425483231,-0.0141947894593145
"chr2_71560000_71570000","chr2",0.930841364938786,0.327927722363474,0.0395151839906042,-6.08728365925565,-1.68345571151996,-0.173753634933943,0.632558483602739,-0.616050334928984,0.299907967913671,0.380890548815901,1.28387683521654,0.29140285818155,1.0221117302571,-0.260255953727386,-0.440762958863752,-0.837169734124172,0.118755263199521,-0.264310659222962,-0.0458824881664523,0.217324692976563
"chrZ_61520000_61530000","chrZ",0.467928011075219,0.348818395495873,0.0607639869955869,-5.75260071728368,-4.39074073641914,0.27686799579358,0.314465239857893,3.73483906040899,0.563653914827738,0.33947619142888,-1.09553123888719,0.263221089303859,-0.168804355004594,1.2966157213683,-0.0635333207100609,0.161940674253389,-1.2958741666743,-0.524766643152684,-1.26622888217251,0.114961441586545
"chr4_41910000_41920000","chr4",0.917370788982772,0.342062342062342,0.0724173351720616,-5.64542009669415,-4.98659657637299,2.0273851671125,-3.77967808486791,1.44334815213663,-1.34537919369192,0.164246418224619,-0.969982441789904,-2.06351972579194,-1.2428169558043,1.51910595484165,-0.263897135761683,0.424194716106734,0.0271981747568084,-0.159976592471665,0.194822656871967,0.694928293201423
"chr18_8640000_8650000","chr18",0.441921397379913,0.448001618064535,0.112349122310392,-6.32548725440741,4.76824711502017,1.59006274099689,3.74800833154968,0.373594694459473,0.863474245445926,0.627656498899085,0.156483958606067,0.633693355639104,-0.560713374734855,0.239049001073415,-0.541752941860433,-0.444666245408705,1.42840403423104,-0.174318656989674,-0.676800124441186,-0.0131304736651916
"chr3_105240000_105250000","chr3",0.132055378061768,0.413702844672872,0.126450117007904,-6.61132430708606,13.1302849078963,2.54307624846721,2.34218787425128,-0.178582659188474,-2.15754065026436,1.48566522584941,0.0515746813109574,-0.346581287017237,-0.0232808047147128,0.215230742332773,-1.41190053348173,0.585204345085317,-0.714713607007681,-0.46527055222804,-0.521601045582539,-0.208136442340959
"chr2_82730000_82740000","chr2",0.923678041156551,0.372782540510569,0.0382069571067741,-5.24977481332343,-11.6688041710241,3.74616897424795,-6.07057009726709,5.97821360105768,1.79973752588496,-1.39414522502987,1.8128146268416,0.106059249997171,-0.674578510519737,0.0233587678613122,0.0299193966998452,-1.41049925946338,0.0888318292194314,0.835535840220794,0.669904868514362,0.381764343697188
"chr3_18610000_18620000","chr3",0.330315938942137,0.442997719569265,0.0507477027999277,-5.53859760097005,-7.91481953187803,1.74643852311924,-2.16463178206399,5.23750417811689,-0.011685198530607,0.189477157718536,1.7271274237243,-0.739750123142999,1.82079115984863,-0.553446838905371,-0.525865246821818,1.17741038664951,0.939561847940496,1.57847435578206,0.386378194519364,0.0235229745563639
